revision,type,path
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-hdpi/view_all.png
1550046,modify,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-hdpi/wizard_image_0.png
1550046,modify,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-hdpi/wizard_image_1.png
1550046,modify,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-hdpi/wizard_image_2.png
1550046,delete,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-hdpi/wizard_image_3.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-hdpi-v11/ic_notification.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/btn_play.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/button_bg.9.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/button_bg_disabled.9.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/button_bg_highlight.9.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/button_bg_pressed.9.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/close_alert_icon.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/grphc_pcloud_logo.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/grphc_powered_sncr.png
1550046,modify,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/ic_launcher.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/ic_mini_player_close.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/ic_nav_contacts.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/ic_nav_contacts_activated.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/ic_nav_documents.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/ic_nav_documents_activated.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/ic_nav_files.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/ic_nav_files_activated.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/ic_nav_help.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/ic_nav_help_activated.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/ic_nav_home.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/ic_nav_home_activated.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/ic_nav_invites.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/ic_nav_invites_activated.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/ic_nav_logout.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/ic_nav_logout_activated.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/ic_nav_messages.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/ic_nav_messages_activated.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/ic_nav_music.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/ic_nav_music_activated.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/ic_nav_photos.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/ic_nav_photos_activated.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/ic_nav_settings.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/ic_nav_settings_activated.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/ic_nav_share.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/ic_nav_share_activated.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/ic_nav_tools.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/ic_nav_tools_activated.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/ic_notification.png
1550046,modify,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/icon.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/invitation_referral.png
1550046,delete,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/mct_wizard_1.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/new_album.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/slider_thumb_selected.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/slider_thumb_standard.png
